"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2022","73,349.0","73,605.0","73,860.0","73,264.0","1.16M","0.23%"
"08/23/2022","73,179.0","72,422.0","73,179.0","72,422.0","1.25M","0.23%"
"08/22/2022","73,011.0","72,843.0","73,432.0","72,254.0","1.88M","-0.11%"
"08/19/2022","73,095.0","74,020.0","74,441.0","72,506.0","2.25M","-1.59%"
"08/18/2022","74,273.0","73,936.0","75,450.0","73,936.0","2.94M","0.00%"
"08/17/2022","74,273.0","74,862.0","74,946.0","74,020.0","1.73M","-0.45%"
"08/16/2022","74,609.0","74,777.0","75,198.0","74,104.0","1.59M","-0.22%"
"08/15/2022","74,777.0","72,843.0","74,946.0","72,843.0","3.55M","2.77%"
"08/12/2022","72,759.0","72,086.0","72,759.0","72,086.0","1.43M","0.58%"
"08/11/2022","72,338.0","72,506.0","73,011.0","72,086.0","2.13M","0.00%"
"08/10/2022","72,338.0","72,590.0","72,927.0","72,338.0","1.29M","-0.23%"
"08/09/2022","72,506.0","72,338.0","73,600.0","72,086.0","2.67M","0.23%"
"08/08/2022","72,338.0","72,254.0","72,675.0","71,749.0","1.82M","0.23%"
"08/05/2022","72,170.0","72,422.0","73,347.0","72,002.0","2.04M","-0.35%"
"08/04/2022","72,422.0","71,581.0","72,843.0","71,413.0","3.50M","1.53%"
"08/03/2022","71,329.0","71,497.0","71,665.0","70,824.0","2.59M","-0.23%"
"08/02/2022","71,497.0","70,656.0","71,581.0","70,235.0","2.16M","1.19%"
"08/01/2022","70,656.0","70,656.0","70,824.0","69,899.0","2.09M","0.60%"
"07/29/2022","70,235.0","71,581.0","71,665.0","70,235.0","2.23M","-1.65%"
"07/28/2022","71,413.0","71,665.0","72,170.0","69,899.0","1.91M","-0.35%"
"07/27/2022","71,665.0","71,160.0","71,665.0","70,992.0","886.77K","0.47%"
"07/26/2022","71,329.0","72,338.0","72,338.0","71,329.0","1.30M","-0.70%"
"07/25/2022","71,833.0","73,179.0","73,179.0","71,581.0","2.58M","0.35%"
"07/22/2022","71,581.0","72,675.0","72,759.0","71,581.0","1.50M","0.12%"
"07/21/2022","71,497.0","72,254.0","72,254.0","71,076.0","2.07M","0.12%"
"07/20/2022","71,413.0","71,497.0","72,254.0","70,656.0","3.28M","2.29%"
"07/19/2022","69,815.0","69,731.0","69,815.0","69,142.0","1.36M","0.00%"
"07/18/2022","69,815.0","69,646.0","71,076.0","69,226.0","1.45M","0.97%"
"07/15/2022","69,142.0","70,656.0","70,656.0","69,142.0","1.59M","-0.72%"
