"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2019","29,724.5","29,174.1","29,881.8","29,174.1","18.38K","-0.26%"
"11/27/2019","29,803.2","29,803.2","29,960.4","29,488.6","51.71K","0.00%"
"11/26/2019","29,803.2","29,881.8","30,117.7","29,803.2","17.80K","0.13%"
"11/25/2019","29,763.9","29,724.5","30,196.4","29,724.5","17.94K","-0.39%"
"11/22/2019","29,881.8","29,881.8","30,196.4","29,488.6","16.70K","-0.52%"
"11/21/2019","30,039.1","29,881.8","30,039.1","29,488.6","28.65K","0.53%"
"11/20/2019","29,881.8","29,881.8","30,235.7","29,724.5","39.43K","-1.43%"
"11/19/2019","30,314.3","29,567.3","30,314.3","29,567.3","20.39K","0.00%"
"11/18/2019","30,314.3","30,550.2","30,550.2","29,724.5","27.35K","-0.77%"
"11/15/2019","30,550.2","30,668.2","30,668.2","29,881.8","27.43K","-0.38%"
"11/14/2019","30,668.2","30,864.8","30,864.8","30,196.4","36.59K","-0.64%"
"11/13/2019","30,864.8","30,668.2","30,943.4","30,039.1","13.89K","-0.38%"
"11/12/2019","30,982.7","30,510.9","31,022.0","30,275.0","32.02K","-0.25%"
"11/11/2019","31,061.4","31,808.4","31,808.4","30,589.5","36.92K","0.77%"
"11/08/2019","30,825.4","30,982.7","30,982.7","30,668.2","31.93K","0.51%"
"11/07/2019","30,668.2","30,510.9","30,864.8","30,432.3","77.01K","0.52%"
"11/06/2019","30,510.9","30,589.5","30,668.2","30,078.4","35.39K","0.26%"
"11/05/2019","30,432.3","30,510.9","30,510.9","29,881.8","28.63K","-0.26%"
"11/04/2019","30,510.9","30,196.4","30,510.9","29,685.2","43.85K","1.04%"
"11/01/2019","30,196.4","29,567.3","30,196.4","29,567.3","140.04K","0.39%"
"10/31/2019","30,078.4","30,196.4","30,196.4","29,488.6","19.55K","-0.39%"
"10/30/2019","30,196.4","29,803.2","30,196.4","29,645.9","21.38K","-0.26%"
"10/29/2019","30,275.0","29,645.9","30,275.0","29,567.3","23.92K","0.00%"
"10/28/2019","30,275.0","29,488.6","30,746.8","29,488.6","26.86K","-0.52%"
"10/25/2019","30,432.3","30,982.7","30,982.7","30,432.3","13.20K","-1.40%"
"10/24/2019","30,864.8","31,022.0","31,022.0","30,432.3","52.33K","0.90%"
"10/23/2019","30,589.5","30,353.6","31,454.5","30,117.7","109.75K","1.57%"
"10/22/2019","30,117.7","29,410.0","30,117.7","29,213.4","167.75K","2.41%"
"10/21/2019","29,410.0","29,881.8","30,117.7","29,410.0","19.71K","-2.22%"
"10/18/2019","30,078.4","30,275.0","30,275.0","29,803.2","15.70K","-0.65%"
"10/17/2019","30,275.0","29,881.8","30,275.0","29,331.4","67.18K","1.32%"
"10/16/2019","29,881.8","29,724.5","29,881.8","29,174.1","63.60K","0.40%"
"10/15/2019","29,763.9","29,960.4","29,960.4","29,763.9","14.43K","-0.92%"
"10/14/2019","30,039.1","29,724.5","30,039.1","29,331.4","34.08K","0.00%"
"10/11/2019","30,039.1","30,235.7","30,235.7","29,410.0","12.71K","0.00%"
"10/10/2019","30,039.1","29,724.5","30,275.0","29,724.5","61.63K","1.06%"
"10/09/2019","29,724.5","29,724.5","30,196.4","29,095.4","11.66K","0.00%"
"10/08/2019","29,724.5","29,410.0","29,724.5","29,134.8","104.40K","1.07%"
"10/07/2019","29,410.0","29,881.8","29,881.8","29,095.4","21.70K","-1.58%"
"10/04/2019","29,881.8","30,235.7","30,235.7","29,645.9","24.96K","-0.65%"
"10/03/2019","30,078.4","29,252.7","30,078.4","29,016.8","78.36K","2.82%"
"10/02/2019","29,252.7","29,095.4","29,410.0","28,702.3","31.87K","-0.80%"
"10/01/2019","29,488.6","29,488.6","29,960.4","29,016.8","37.38K","-0.27%"
"09/30/2019","29,567.3","28,584.3","30,275.0","28,584.3","54.81K","3.44%"
"09/27/2019","28,584.3","28,623.6","29,016.8","28,545.0","51.36K","-1.22%"
"09/26/2019","28,938.2","29,095.4","29,095.4","28,623.6","34.86K","-0.27%"
"09/25/2019","29,016.8","29,095.4","29,095.4","28,741.6","36.86K","0.96%"
"09/24/2019","28,741.6","29,331.4","29,331.4","28,741.6","38.81K","-2.01%"
"09/23/2019","29,331.4","29,488.6","30,982.7","29,016.8","64.40K","-0.27%"
"09/20/2019","29,410.0","30,196.4","30,196.4","29,331.4","58.02K","-2.35%"
"09/19/2019","30,117.7","30,117.7","30,117.7","29,645.9","34.16K","0.00%"
